ans_id,ans_voteup,ans_thanks,ans_collection,ans_comment,que_id,que_activities,author_id,author_collected,author_follower,author_following,author_thanked,author_voteup,author_activities
122986375,3089,305,136,344,50824266,76,bef51c6cb798eef165c2e07f3d8cb989,236,2999,8,305,3089,0
119081981,1992,184,161,147,50050401,156,085dfee88ffb3c4224c6ff7a60649d8e,2368,2475,137,768,4891,45
161290993,1941,213,383,112,55753169,169,2ebd73008f4b82aab5767b37a69d4d6a,665,126,39,373,2950,179
132034446,1805,189,31,87,52768740,361,63573fa43c19ca5f62c615505f920e49,2453,5582,555,2443,20489,16
96780266,1447,412,656,7,43304486,259,50e52c29a63fa9723d683b250d9c6519,46719,42857,670,15154,87013,30
123136892,1048,116,19,156,50824266,76,6ef2e77274cb0719253a577665cf690e,82151,56292,142,54427,318619,94
158405674,990,134,51,205,55753169,169,d210f3a689fe17b3f42682774c116d71,5695,3596,153,9972,51110,37
132051780,881,90,11,36,52768740,361,a15fd6af73a9070592d78ee5a7dbb1e6,62,67,200,200,1335,72
76289163,773,161,170,165,38387206,77,d1ca6c2774afc044df5999f2d53ec6fb,95774,32644,34,30266,133638,2
93181974,713,120,39,256,29938038,186,5caf68d8648c563c800c916a7e5e47b6,28849,38591,3107,19114,152089,226
122024016,709,126,93,160,50643209,83,24af63e4e370d1a2bddf4b7d7b9a9ebb,7008,4531,64,3242,13958,9
119147068,582,46,13,70,50050401,156,45d1a7360a3614756e2ae9bef21d08d6,59886,36168,842,29851,167152,431
137690948,536,55,11,122,54048527,38,b6f0c45a4d0dc84f228977e0d70bd700,42804,55806,526,42769,361683,643
172192950,518,74,29,232,43304486,259,06f3b1c891d0d504eea8af883150b497,206439,234523,76,101805,480568,35
95964332,461,200,179,171,43304486,259,df4deb9232dab1f6f7193041b6628da0,7941,9035,1274,4233,14934,79
127504554,456,173,154,234,51783509,91,1489f98f6d8929029842000b0a69b5dd,31764,97484,130,15820,65990,8
34998245,451,116,326,54,23299373,24,131d6b0bc2e8ee2cdbb0c545e9504cfb,1351,548,97,537,2102,26
69522798,444,115,110,64,29160943,42,23a296218df7cc08b7d3d54e3ceb49ef,22368,90127,116,6373,22944,29
117385114,421,75,35,55,45096702,45,b9160029f18ec444da2b077eacdcc569,5433,11701,148,4476,23509,33
39561946,398,168,490,87,23418797,54,4f6a9130faa6a09d4af39b4de144d058,978,670,69,209,683,3
127498104,395,96,183,74,51788894,25,24af63e4e370d1a2bddf4b7d7b9a9ebb,7008,4531,64,3242,13958,9
139148917,391,94,38,118,54377817,210,24bf5527e6b1903c69d6e10dd44dea59,6604,15469,61,3628,12807,3
122188505,372,47,4,66,50643209,83,407a7ef83617a97439392ef51a34b3e1,51,104,113,93,648,20
43746984,355,86,20,63,29160943,42,6d3b0b224552a8f0b4421ac4dc62b231,438,62728,26,299,1370,0
30529756,353,93,154,32,23945902,86,ddf92e69697e28d11f6e01a1e87ca911,1428,4016,148,378,1421,37
108974170,339,115,50,66,48038533,125,be600dcd5c455d94d68669466d50068a,1099,1218,42,305,3220,27
119169666,290,17,2,39,50050401,156,554cfcec9341a938a6d74dda5554d05c,7428,1565,254,2783,16285,69
142356228,252,73,259,33,51788678,23,f3bd77f336d8e42d3894d91d7f4d9b6d,1009,1503,91,551,1292,4
138987072,251,111,283,40,54217494,55,1c77bcf9e9915547d40d8f42990dc3bc,3322,2197,85,537,2947,119
108800998,242,36,11,24,48038533,125,576da4323bfeec0b7917f4a2f7f7d62f,985,173,6,937,5250,0
76194765,242,44,12,73,38387206,77,d38903493b51eef605c36ee978f6d263,282,276,41,278,990,0
140118107,239,28,12,23,54461787,10,0b21747b1fec79ad8af7e68a2b1ff681,44638,101971,92,42192,308181,234
139886230,240,27,50,47,54461787,10,0fbaa6040ce976d0aad6d93e7d93ca3d,421,123,119,273,2249,3
86599108,230,23,3,24,40436801,89,90a8bc110848605465e2bc0a25df9994,417,479,50,103,554,34
