UserName,VoteUp,Thanked
zhang-qiu-yi-27,17676,6471
zi-liu,21129,4357
luoyou,15420,6414
ptteng,21923,7786
K.Kang,9452,1015
fouber,15985,3948
smbt,13399,2498
kingzs70,5365,3101
deng-chen-hua,6303,2687
fei-xiang-de-mao-miao,4125,495
Ovear,5560,1391
da-hu-li-69,4835,1116
,4953,1368
diao-xiong-2,3835,667
midare,10748,3148
zuo-wen,4570,1553
xu-hao-82-57,3272,781
MagicNumber,3191,413
excited-vczh,1168767,152806
,5802,1970
wjfwzzc,4837,899
yenshih,3238,1401
,5267,713
wei-jie-85,2817,1733
intopass,9875,1988
xiao-jing-mo,153977,24827
tychio,3123,1095
chu-xue-4,2349,1021
pansz,223712,42624
,2094,277
muselover,11029,2453
evanyou,31951,3648
bigc.at,10316,2024
niaodan2b,1894,187
forecho,4976,1150
,1797,379
yue-ying-2-61,3049,758
tw93,3674,1234
bao-gai-tou-he-fan-ruo,3700,1019
mao-wen-qiang,14092,4590
,4613,1339
li-lu-69,25160,2227
ceng-mars-21,3243,846
cai-tong,583750,138405
yao-ying-jia,2520,755
,3637,1162
finndy,2260,914
,23603,4124
belle-4,1555,250
fredriklo,23077,5671
he-jia-43,12678,3150
,52293,12629
zhang-zhang-57-95-58,1248,125
secilla,1265,197
xiao-jue-83,25075,3990
wonderful611,34979,7008
akfish,5852,1395
mememix,1231,164
zhoumengmeng,31846,8603
sharpmaster,21028,3963
SuneBear,1444,463
jianru-lin,23104,3061
,86076,19822
matrix_bai,3403,912
nulltao,2429,507
ahkari,19800,2843
zhao-jia-mu,11880,2625
,2594,930
,2847,785
cccccccccwalle,1551,700
,2859,933
,30713,4613
aton,437434,62176
,2938,833
superwyh,203535,35223
huang-xi-90-7,4555,1439
Rufus,20808,3628
jiangshui,5099,1224
,4379,1768
jayli,956,344
smallni,1666,580
,852,195
ivernaloo,812,226
leeluolee,4168,870
qin.chao,135518,27345
shinichi,28855,11200
,5853,1122
hawintion,863,306
yubolun,26244,2621
rednaxelafx,87165,15047
zhuang-heng-fei,760,131
johnny-wu-001,7639,1394
mobyhu,1248,185
weixinzhongxin,714,135
lycheeorange,150980,34895
jikey,9656,3341
ysbl,4279,1298
luics,707,137
yu-san-geng,167891,32178
huxpro,18777,2117
justineo,21660,3038
,7402,1212
,1936,784
ban-zhuan-nao-gu,74238,34813
yin-guang-yao-96,4354,951
yang-yi-32-88,1624,185
,3458,744
lin-mian-bao,3825,353
po-ling,2384,371
he-shi-jun,37720,6269
zhangjingwei,917,215
lxjts,56265,10586
jason-yang-187,631,55
hu-zi-da-ha,8804,1910
sw2016,31374,6390
minmin.gong,264152,36345
han-shuang-li,618,240
kejun,4659,983
metrowind,14416,3097
qinmoyu,1396,577
lifesinger,6198,991
miloyip,139820,23516
lyragosa,8941,1723
zhihusucks,20194,1642
loveky,626,104
yuan.yue,6635,1073
ray1984,539,150
song-xue-yan,517,209
,821,190
phodal,32370,6836
mingelz,558,130
li-shou-xin,13200,2429
,1935,630
,590,262
be5invis,142691,24732
meowtec,3664,690
dashhuang,22754,6315
liu-ran-67-90,20217,8567
abmian,8697,1725
sofish,4485,603
kmxz,23626,4034
siyang,14400,2234
liuyong25,11474,1932
goodbird,777,428
sgai,275062,36882
roy-li,47788,11593
innojason,1164,393
ben7th,985,277
rysun,1480,473
si-tu-zheng-mei,2442,539
wucao,742,198
,17869,2444
wang-namelos,844,207
,429,188
zhang-yi-de-74,18208,2699
fengqiasia,429,90
tianmaying,7838,2776
wu-xing-zhuang-bi,2058,923
wuvist,19070,4879
onlyeeJK,431,158
osmn00,1357,326
tedeyang,5299,1339
rdtriny,715,219
fang-zi-zai,744,203
dongkeren,53945,14993
evance,2267,536
yongliu,1107,106
converseart,1978,540
,1561,228
,98466,18600
madwiki,9409,1814
chen-hao-87-23-27,389,36
roquin,521,138
JimmyLv,1205,252
,10126,1264
trotyl,3377,407
pwmm,1422,409
,1143096,214830
iamzfj,777,129
hutianshuo,11900,2738
,124164,34778
littlecoder-3,1108,187
moon-silver,20600,3025
eldereal,863,117
barretlee,1532,299
yujon,358,88
huangz,413,110
,1661,465
,2605,461
puterjam,375,99
,668,127
bakujun,1138,280
jasinyip,19967,3058
jixian-li,813,162
jobslong,370,215
gan-ming-51,2285,682
chen-fu-zhou,33653,10112
daraw,1029,352
zhang-jing-chao-25,553,125
livoras.com,1390,336
Ivony,300502,51996
,729,133
thzt,4037,665
chen-xiao-li-55,13457,5314
siton,19735,3510
,342,82
spring66,910,244
ge-ge-56-63-17,365,201
rank,2816,831
doris-53-22,331,103
,458,142
jy1234,6823,4027
,575,156
,520,128
current1991,382,70
arthurwang,585,119
shi-zhe-ru-si-19,662,193
dead_horse,906,138
lydia-62,133197,27256
kizo-chou,2208,1730
grapeot,64859,9645
neihan,468,78
wang-jin-liang-69,369,76
harris-feng,294,99
tlxue,7212,1904
,429,92
,536,94
afc163,10097,969
zeke,3979,777
zhu-lin-55,636,209
franciszhao,282,55
thejameskyle,674,26
stein.cun,10213,820
bingfeng.zhao,693,173
thinkphp2006,274,33
xiao-lu-88-18,84504,17569
choice_,275,34
tinyfool,21176,3448
alienbat,117497,20547
fu-sheng-20-28,537,131
jrmos,63795,14553
xlzd,21267,3576
chu-chen-han-ye,281,77
henry-li-03,548,109
morlay,9786,3229
liaoxuefeng,9284,1498
CMGS,15995,2839
,3074,663
evilau,1386,505
,404,68
wang-fu-peng-54,431,91
qian-qing-chen,1700,169
feclass,2169,393
justjavac.com,79390,10431
,394,71
li-chuang-yi,437,175
loki951753,575,103
tia-hu,4420,1531
tim-chen-21,25904,4441
xiao-qiang-85,845,260
wang-wang-69-90-11,563,147
,267,98
,329,53
lianghai,46643,14001
otakustay,3966,844
wj1s,263,64
hi-xw,512,85
laufei,274250,60619
honcut,2874,470
,4842,938
fluxxu,1783,260
,1920,284
emayej-bee,488,108
xzer,8922,1800
saviio,3103,612
tapir,7350,1256
tan-ye-91,33429,7013
chino-25,9906,1698
spacekid,52143,2320
yeka,204755,54770
,2879,513
wang-tao-50-69,1461,230
zhaicool,850,304
,1953,695
tchen,34063,322
solome,649,138
li-harry,219,60
wang-ze-52,1614,255
maplejan,1113,223
kingszar,1995,493
a-li-yun-yun-qi-she-qu-48,12544,1878
netcan,1286,286
shi-zi-zhang,649,122
dorothy-33-6,1833,429
yang-peng-12-97,211,88
xia-bingying,7777,2210
wang-ai-bi-60,226,99
vangie,326,40
nuo-tie,3364,558
alexzhang2015,1447,450
,1506,530
jimnox,10896,1593
,7447,4504
lin-jia-jun-57,1794,364
edtall,280875,65451
xiao-ming-40-28-51,480,97
luo-ye-42-22,207,57
agoodjob,334,212
mc-zone,1045,179
shelley-lee-94,2881,690
jiang-shi-hao-34,200,17
chen-xiao-er-will,284,90
shaopeng-38,6169,718
cue-edit,380,101
david-wang-8-9,760,424
jeffz,112359,13763
,15226,2903
