ans_id,ans_voteup,ans_thanks,ans_collection,ans_comment,que_id,que_activities,author_id,author_collected,author_follower,author_following,author_thanked,author_voteup,author_activities
122986375,3092,305,136,344,50824266,76,bef51c6cb798eef165c2e07f3d8cb989,236,2998,8,305,3092,0
122931559,79,23,7,24,50824266,76,24af63e4e370d1a2bddf4b7d7b9a9ebb,7063,4553,64,3257,14047,10
123059696,657,94,25,86,50824266,76,e1d4b49462607d50ee1a3d67704dac33,35324,18431,90,24916,123652,120
123136892,1048,117,19,156,50824266,76,6ef2e77274cb0719253a577665cf690e,82671,56815,142,54969,322124,99
122866115,80,9,2,15,50824266,76,d8600e722afa7f33d8ff51d156f9aeb3,639,1983,69,294,1559,24
122998414,36,3,2,7,50824266,76,1e22119914463a0f68747521c027901b,173,309,296,214,897,52
122927921,14,8,1,23,50824266,76,fd8a4aece004bf92ed0fdd9e22c71173,777,363,38,69,294,27
122921195,270,59,12,135,50824266,76,c67d30567c1ebd6c36ca4352d2c716df,59006,41536,0,36500,195676,6
122863478,85,15,1,14,50824266,76,0970f947b898ecc0ec035f9126dd4e08,227083,564565,2200,166132,1287953,2118
123235372,4,2,0,6,50824266,76,4c598718cc8b41aeb830abbb8e5c7053,2301,783,195,603,1294,2
123060233,20,3,2,7,50824266,76,6aec8d1bd8d8bb3eb5667c4419dc10fb,482,1733,148,312,1531,8
123088929,26,5,3,6,50824266,76,dae60f67d41a8863afa73b6353623a43,17,20,45,15,49,0
123074161,14,5,1,10,50824266,76,e414f73ee38ca4286029370f753f12d2,4478,7712,338,9801,52548,299
123083794,31,4,1,3,50824266,76,7b82cf8f2705a4eaf540a1360d16ea81,1012,547,48,1366,10893,24
123092132,2,0,1,0,50824266,76,a18b203fce545918c5a60a0a99aa2991,11246,6594,173,3086,25402,167
122869853,13,0,1,1,50824266,76,0501ed3722b4e518d9fb9c96aeef7f21,175,453,61,11,188,8
123211913,4,0,1,0,50824266,76,2156dff6b2455d7011c0adb532343dea,1,3,20,8,32,59
123085710,4,0,1,0,50824266,76,a881391b3f39dc9f33823869cba341bc,404,357,99,481,2091,80
123083152,6,1,1,8,50824266,76,42cbd2e631773365ae31c2f7b79eb533,2,3,4,3,7,8
123030078,3,2,1,1,50824266,76,0413dc3d0dae7589b03a77b2f918b741,5136,4040,85,3111,13531,23
123255436,2,1,1,0,50824266,76,f555de64120786139e12e236534a3877,5386,4506,692,6609,36893,256
123196335,2,0,1,0,50824266,76,b3be6561db5cb056c051833eaa074003,426,847,725,249,824,291
123167921,2,0,1,1,50824266,76,55e82987eee3e2bf66f4a31373b533a3,1777,2047,1605,2840,16722,82
123030727,2,2,1,3,50824266,76,34547b8bd57a7740e755956921294607,27,11,15,16,196,0
122994215,2,1,1,2,50824266,76,52fee2454a5fdb952f11d569457d9a2c,49,128,113,118,640,164
123023190,2,0,1,2,50824266,76,68cb082955271c7142873c3701636744,1152,428,386,703,5431,451
123244172,1,0,0,1,50824266,76,d4b3e313209b33cdc2be3cffcecb5e0c,1,9,183,2,4,0
123131216,1,0,1,0,50824266,76,10f61e9925ff347106c04ac31a86587f,2,2,52,2,7,4
123043551,1,0,1,14,50824266,76,cec2a610cb05c718aa1155b5a309c12b,124,42,1998,25,66,50
157717155,0,0,0,0,50824266,76,4aaf48d5b83615b5c8cfe173dd517985,10,14,17,16,15,7
138220228,0,0,0,0,50824266,76,3e485b4538655fee21ec7d137b83b3a9,8,118,0,5,10,0
125587739,0,0,0,0,50824266,76,615cc3e80fe3e306bc2ea53fdfd55fc5,1039,463,51,129,900,20
125509210,0,0,0,0,50824266,76,a401abd2d146e76cc2133bb87bf0d46b,159,22,225,78,210,34
125260866,0,0,0,0,50824266,76,e05f2c6d7826b5f1055cd3db6780f095,5,11,171,10,21,77
123489606,0,0,0,0,50824266,76,12d610b4dc1eb5802654b55446af29bc,1,9,58,3,12,6
123297729,0,0,1,0,50824266,76,06754b3fbc84213d05468e4527ce2996,2,10,130,2,7,13
123291655,0,0,0,0,50824266,76,91dedee0a6c5de56dcc211db7b98d21b,18,72,88,15,66,15
123248303,0,0,0,2,50824266,76,2389081a3571410c113aac322ec0ed83,33,38,148,23,59,0
123220022,0,0,0,0,50824266,76,6f144b45628c667341ad658b4a980502,185,61,167,377,2041,215
123205143,0,0,0,0,50824266,76,d271589ae577a53cf026308f36281da3,456,337,1609,264,1307,79
123189317,0,0,0,0,50824266,76,0160f7a17770dc0045ea6a08eee5eb5b,72,197,241,75,382,56
123188665,0,1,0,0,50824266,76,5497f0c2cfe2ecee03fede2b9aeff39b,137,328,389,551,3650,58
123169370,0,0,1,0,50824266,76,54ac28965b56ab984063c68b13ad569c,10,36,75,12,23,3
123159617,0,0,1,0,50824266,76,a8b871fd48d5c78b09d78fb31e4dab47,2757,1265,258,3972,32402,117
123136729,0,0,1,0,50824266,76,62489d3e63feb6157de900984644a622,45,65,525,25,68,48
123135180,0,1,0,0,50824266,76,425cddea5056f151d269c1b7807f58e4,40,67,359,53,202,283
123130013,0,0,0,1,50824266,76,a3240d81d7a484575558cfc32629ff6d,31,27,172,76,376,2
123117452,0,0,0,2,50824266,76,f68d9e81efba0480750279f013005e5d,4,18,92,7,19,0
123078773,0,0,0,0,50824266,76,2d2b827e5ff36f9413b58fb4ddd44c40,70,547,135,124,686,12
123075076,0,0,0,2,50824266,76,a1a726f23d56405d9618428195701b19,3003,597,343,954,3810,103
122939750,0,0,0,0,50824266,76,98b83294d00f35c14d34864802bd9742,10,38,308,36,225,210
123143520,0,0,1,0,50824266,76,72f3ae1b1e751b55211b3a8a0d148fd0,38,20,0,35,102,0
123145886,1,0,1,2,50824266,76,09349d7548b0f2e9696161a126a36e51,29,11,27,31,90,7
123081654,1,1,1,1,50824266,76,d44a5d860af44e3e098729e77345fee8,79,58,2,141,523,0
123033450,1,0,1,0,50824266,76,6cbab61fcb91a4173c056cc214d85cea,137,354,1263,113,460,66
123134293,0,0,1,0,50824266,76,37a3516f040399a7be8d6e01dd9feb91,11,1,0,8,98,0
123066421,0,0,0,0,50824266,76,a9a93d15b1ef61c3a4b85f0894c0a58f,34,142,260,58,178,0
123015487,0,1,0,0,50824266,76,512e5ef74f6965f94db8329477def59e,15,47,21,75,314,0
122929953,2,0,1,0,50824266,76,28fc66e49e5f75de5f50aeb7d9d3067c,31,42,44,23,121,41
123058285,0,0,0,0,50824266,76,64aafbaf5b1f49812ac4286351afd724,30,20,36,10,56,0
123059040,0,1,0,2,50824266,76,968ec3e2425e3b4994003890c280dbb7,261,234,386,280,1193,200
119081981,1993,184,162,147,50050401,155,085dfee88ffb3c4224c6ff7a60649d8e,2413,2588,139,776,4987,54
119198145,88,6,0,19,50050401,155,7b6a94506fe8e2501421950f80db9414,121,746,80,35,286,20
119169666,290,17,2,39,50050401,155,554cfcec9341a938a6d74dda5554d05c,7493,1575,255,2801,16466,62
119142144,169,17,2,40,50050401,155,b6f0c45a4d0dc84f228977e0d70bd700,44203,56994,529,44106,374998,570
119087855,207,12,2,20,50050401,155,4eea52407dcefcb149e64c4a4b99d25a,178,124,138,141,1797,380
119157289,52,8,9,11,50050401,155,7f5918e842584dee2f17162f977e7974,16,272,11,8,67,2
138161444,81,11,1,2,50050401,155,7240b2ae38836f4837c2d7355b2ee72d,52927,217835,602,44542,233868,120
138262314,48,6,3,5,50050401,155,9a245e0a433b4a6d0de052fbb13d2870,27204,25121,85,13695,64562,60
119176275,59,5,0,0,50050401,155,4e2295aadfce480bb6a2afdc07f844f2,10,14,242,35,267,32
119224068,8,2,0,7,50050401,155,352f8f00103c2a9da05600f403963103,8689,14581,76,2501,14198,25
119085663,60,7,0,2,50050401,155,aad0a29c55d97c6b78b5176853bf31a7,553,244,133,375,3348,64
119100865,14,4,0,0,50050401,155,cba05e1eeeb850fb083631b8e7bfe734,28791,2639,107,5735,13430,42
119159781,41,1,0,8,50050401,155,b1c57740681614d0bedf5068f4de205a,463,588,255,379,2211,110
119147068,582,46,13,70,50050401,155,45d1a7360a3614756e2ae9bef21d08d6,60271,36336,844,30049,168425,309
119185573,17,2,1,0,50050401,155,cd3b50a1c93e82200495c96300a8f69b,57,66,133,88,562,22
119079537,21,4,0,1,50050401,155,0a4c56f05238a102880cdd009f8e35a2,85,186,251,142,708,67
139554611,2,0,1,2,50050401,155,5e0f9c394780ff6ca9a75c2c0437f9df,41531,15573,237,23429,106728,179
119178845,27,2,0,0,50050401,155,e3b4c56164e07f8ec46cfed534b3eda8,665,231,76,1415,10596,0
119256252,2,1,0,0,50050401,155,56a7a48e819ff32709c45f395337507f,0,2,57,1,3,12
119745278,5,0,0,0,50050401,155,69426b80e701774e4c8fddee89bd05e0,1,1,9,1,14,0
119160373,4,0,1,0,50050401,155,950da7d5058323331f5df6fc1891e970,136,203,186,219,1163,33
119098765,7,1,0,3,50050401,155,008360c65616c20cafadf6ec3d98280e,2,1,70,2,9,30
138213949,3,1,0,0,50050401,155,89984a0d0acf00e4a2785d1a6425f31c,18,100,67,48,225,1
159062291,2,0,0,0,50050401,155,208f1ba332829c87bdb5c291cb360860,4,12,22,3,44,24
140919792,2,0,0,0,50050401,155,0408bcdc12cf26787a56976c1ef3b378,25,15,140,49,297,689
139420386,2,0,0,1,50050401,155,8380fbfeb65d36df0968993ac723ec3b,131,106,207,100,522,12
139451714,2,0,0,4,50050401,155,fb6a47e59adfff6891408e0e3cea27c4,13,23,17,45,216,7
138298418,2,0,4,1,50050401,155,1d773241963811a4695a4cb6aeb64520,14,18,4,9,25,0
119128989,3,0,0,0,50050401,155,4b9f3c9dd909f32615acb2c2649145a5,63,63,115,25,127,4
149339087,1,0,0,0,50050401,155,56893cebeb74dc7e9af7c9968a6a0949,185,216,975,229,910,26
139402918,1,0,0,0,50050401,155,2c72fec8389a8c35b3923def1ef95e82,551,448,171,1098,10281,29
139396791,1,0,0,3,50050401,155,1947f21c85c6e4cd0d128271902c986f,108,127,43,29,238,36
138222774,1,1,0,3,50050401,155,078810bface1135bef5b9e565571826d,539,370,64,102,536,44
119448285,1,0,0,0,50050401,155,73f526cf0f10e25562ef133371a611af,4658,988,18,1448,8722,5
119188847,1,0,0,0,50050401,155,feb6eed7023d640452e9e8877bb3f772,192,307,153,481,3036,787
119159648,4,3,1,2,50050401,155,5caf68d8648c563c800c916a7e5e47b6,29009,38629,3109,19236,153192,161
176839678,0,0,0,0,50050401,155,fd3a0b51d85bfc6dd8a91a004d7197d6,0,0,14,1,3,11
149655847,0,0,0,0,50050401,155,a049ceb665714b9ab9c3e55994bc60eb,22,21,333,40,299,47
149381785,0,0,0,0,50050401,155,632ac8bd32007b8fa4f51148cafab712,1,4,0,3,12,18
149368812,0,0,0,0,50050401,155,74ac9f08c5b9a3f116e61e08a45fefc3,79,65,159,46,106,105
149322009,0,0,0,0,50050401,155,9d3f63ec330bf7c1d9e4c1cbba485e08,1140,794,431,782,4163,462
141218553,0,0,0,0,50050401,155,2fec9d3e3cb98e0f128d9311b1cf6e4e,0,3,7,6,24,0
141025070,0,0,0,0,50050401,155,c499c60d8a521ed76b3652ab086261bb,41,67,31,22,78,13
140927931,0,0,0,0,50050401,155,4e18ab5979e1eeed72da040a782132af,0,3,63,0,0,2
140900669,0,0,0,0,50050401,155,17aa5c7c7a8be28a386465a4c10a6ff5,219,147,22,501,3365,15
140894003,0,0,0,0,50050401,155,f37fad3cd788e928743eb295249cab02,35,38,347,86,500,7
140891060,0,0,0,1,50050401,155,14b89e7b6dfe63cff6570e5fa3cb829b,0,0,4,0,0,1
140889950,0,0,0,0,50050401,155,a1129033662f53ab517a7f463d38632a,1344,340,65,1584,10267,147
140646734,0,0,0,0,50050401,155,ec23a63959445f57f842ef7dda31ed16,34,59,16,222,1094,56
139858716,0,0,0,0,50050401,155,1983730ec2cbd25bb935df18b39ff3e6,11,24,105,16,30,29
139634942,0,0,0,0,50050401,155,0a0fc842926d92af434a4bc6738c4fb1,133,127,5,170,796,66
139615802,0,0,0,0,50050401,155,d26c73e98bdf80fb05f43f3ec2123130,435,176,733,132,637,36
139520056,0,0,0,0,50050401,155,d6759aaa2b79c912332dab68b7d49f99,1,30,44,1,6,0
139519646,0,0,0,0,50050401,155,680a508e7f2e8e4044dae348d348108c,11,19,291,34,121,226
139511776,0,0,0,0,50050401,155,0d129591af8c16a0421c09c8522b6cf9,1,0,0,0,0,0
139461013,0,0,0,0,50050401,155,e4750e8aa0b6edb704e95aa5fe6fc709,0,2,10,0,0,0
139451913,0,0,0,0,50050401,155,254fd54738ef896db41dd7c64382a175,21,47,362,47,440,404
139443690,0,0,0,0,50050401,155,b9a89189a1f9168884791da2e0fa6e56,0,17,156,8,19,18
139407330,0,0,0,0,50050401,155,d743b5a76d6ffa3b5775475a43869b32,413,527,599,616,3297,98
139393395,0,0,0,0,50050401,155,b0614e350f3a2e3eb40ee86829d22391,4,16,47,7,5,25
139386784,0,0,1,0,50050401,155,9e25367b9ede94cb641eae0346f1ccfb,4,2,53,2,4,2
139385262,0,0,0,0,50050401,155,1b43c925eaab52e71546d8e278437593,182,57,275,44,109,17
139170868,0,0,0,0,50050401,155,861d8d58530f14ef2f98d242795144e7,12,111,24,24,253,35
139160013,0,0,0,0,50050401,155,043a153a28672d92f17255a0326b986f,0,0,57,0,0,41
139035023,0,0,0,0,50050401,155,6e979967a73c64f3d7df58f543c821c8,26,8,37,4,17,38
